domain,intent,utterance
ovos-skill-confucius-quotes.openvoiceos,"who.intent","hvem er Confucius"
ovos-skill-confucius-quotes.openvoiceos,"who.intent","hvem var Confucius"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","i dag i historien"
ovos-skill-days-in-history.openvoiceos,"births_in_history.intent","hvem blev født i dag i historien"
ovos-skill-days-in-history.openvoiceos,"deaths_in_history.intent","hvem døde i dag i historien"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afbryd diktat"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afbryd transskription"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut diktat"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut diktatet"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut indfangning af tekst"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut notatskrivningen"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut notattagningen"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut notetagning"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut optagelse af tekst"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","afslut transskription"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","annulle optagelse af tekst"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","annuller diktatet"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","annuller notetagning"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","annuller optagelse af tekst"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","annuller transskription"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","deaktiver diktering"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","deaktiver dikteringstilstand"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","deaktiver teksttransskription"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du afslutte diktatet"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du afslutte notetagningen"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du afslutte optagelsen af ​​tekst"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du afslutte transskriptionen"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du annullere diktatet"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du annullere notetagning"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du annullere optagelsen af ​​tekst"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du annullere transskription"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du deaktivere diktering"
ovos-skill-dictation.openvoiceos,"stop_dictation.intent","kan du deaktivere dikteringstilstand"
