domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  alarm verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  alarm versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  alarme verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  alarme versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  ereignis verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  ereignis versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  ereignisse verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  ereignisse versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  erinnerung verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  erinnerung versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  erinnerungen verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  erinnerungen versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  termin verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  termin versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  termine verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich  termine versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein alarm verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein alarm versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein alarme verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein alarme versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein ereignis verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein ereignis versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein ereignisse verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein ereignisse versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein erinnerung verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein erinnerung versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein erinnerungen verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein erinnerungen versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein termin verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein termin versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein termine verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich ein termine versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine alarm verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine alarm versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine alarme verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine alarme versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine ereignis verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine ereignis versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine ereignisse verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine ereignisse versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine erinnerung verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine erinnerung versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine erinnerungen verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine erinnerungen versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine termin verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine termin versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine termine verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich eine termine versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen alarm verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen alarm versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen alarme verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen alarme versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen ereignis verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen ereignis versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen ereignisse verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen ereignisse versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen erinnerung verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen erinnerung versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen erinnerungen verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen erinnerungen versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen termin verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen termin versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen termine verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","hab ich einen termine versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  alarm verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  alarm versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  alarme verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  alarme versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  ereignis verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  ereignis versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  ereignisse verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  ereignisse versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  erinnerung verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  erinnerung versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  erinnerungen verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  erinnerungen versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  termin verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  termin versäumt"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  termine verpasst"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","habe ich  termine versäumt"
