domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","qué alarmas me he perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","no recibir recordatorios"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he saltado las alarmas?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha perdido algún temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido algún evento?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alertas perdidas"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿qué alerta me he perdido?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿qué recordatorios me he perdido?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido algún recordatorio?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he saltado la alarma?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","recordatorios perdidos"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","no ha recibido ninguna alerta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he saltado alguna alarma?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perder una alerta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alerta perdida"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha perdido una alerta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","se perdió un acontecimiento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarma perdida"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿qué alertas me he perdido?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿qué recordatorio me he perdido?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he saltado una alarma?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alertas fallidas"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","qué evento me he perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","saltarse ninguna alarma"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","fallar alarmas"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","temporizador perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perder un temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido algún temporizador?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","se ha perdido algún acontecimiento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿qué alarma me he perdido?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha saltado alguna alarma"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","me he saltado una alarma"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","miss an timers"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","qué eventos me he perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido una alerta?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","me he perdido la alerta"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perder cualquier recordatorio"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido la alerta?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","evento perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","faltar a eventos"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perder una alarma"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido un recordatorio?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perderse un acontecimiento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perderse ningún acontecimiento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","qué acontecimientos me he perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿me he perdido algún acontecimiento?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perder cualquier temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","qué temporizador me he perdido"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","¿qué acontecimiento me he perdido?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","se perdió un temporizador"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","temporizadores perdidos"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","recordatorio perdido"
