domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","rappels manqués"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manqué un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté l'alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté un rappel ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","oublier un rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des alertes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","minuteries manquantes"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manque de rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","rappel manqué"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelle alarme ai-je manquée ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer des alarmes"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quelle alarme ai-je ratée ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié un rappel ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer une alerte"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a pas reçu d'alerte"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué des alertes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié des rappels ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a manqué aucune minuterie"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","oublier les rappels"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alerte manquée"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","événement manqué"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a manqué aucune alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué une alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié les chronomètres ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquez un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des alarmes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des événements ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarmes manquées"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quel rappel ai-je manqué ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a pas reçu de rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manque de chronomètres"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelles alertes ai-je manquées ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je manqué un rappel ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié une alerte ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié des rappels ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alertes manquées"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quels sont les événements que j'ai manqués ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quel événement ai-je manqué ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer une minuterie"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué la minuterie ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer une alarme"
