domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha perso un allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali eventi mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","mancato allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","mancato timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso qualche evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha perso nessun timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","promemoria per i messaggi mancanti"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","timer mancanti"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso un allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","avvisi di miss"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quale allarme mi è sfuggito"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha ricevuto un avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","promemoria mancati"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso qualche timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","allarme mancato"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","avvisi mancati"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","miss eventi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quale timer mi è sfuggito"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso il timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali avvisi mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Manca un timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere un promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha perso una segnalazione"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha ricevuto un promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ho perso il timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mancano i timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso degli allarmi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quali promemoria mi sono sfuggiti"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","allarme miss"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non si è perso nessun timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","promemoria mancato"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha perso nessun promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere qualsiasi allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere qualsiasi timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso un promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso degli avvisi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha perso un evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere un timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso dei timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso un evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso l'allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quale evento mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso l'avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quale promemoria mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali avvisi mi sono sfuggiti"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","promemoria per le mancanze"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quale allarme mi sono perso?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi è sfuggito qualche avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere qualsiasi avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ho perso qualche allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quale allarme mi è sfuggito?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso qualche allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere un evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","miss promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere gli allarmi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere un avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha perso un timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali allarmi mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quale timer mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso un timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere i promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso degli eventi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso qualche promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere il timer"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","eventi mancati"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","timer mancato"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","timer mancati"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","evento mancato"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali promemoria mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","allarmi mancati"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere gli avvisi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","mi sono perso un evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","mancato promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ho perso un allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha perso alcun avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali timer mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso dei promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quali promemoria mi sono sfuggiti"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere qualsiasi promemoria"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha perso nessun evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","non ha ricevuto alcun avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso un avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere un allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quali timer mi sono sfuggiti"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ho perso l'allarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Mi sono perso qualche avviso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere eventi"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quali sono i timer che mi sono perso"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","perdere qualsiasi evento"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ha perso un evento"
ovos-skill-iss-location.openvoiceos,"where_iss.intent","dicci  la posizione dell' I S S"
ovos-skill-iss-location.openvoiceos,"where_iss.intent","dicci  la posizione dell' ISS"
ovos-skill-iss-location.openvoiceos,"where_iss.intent","dicci  la posizione dell' S S I"
ovos-skill-iss-location.openvoiceos,"where_iss.intent","dicci  la posizione dell' SSI"
ovos-skill-iss-location.openvoiceos,"where_iss.intent","dicci  la posizione della I S S"
ovos-skill-iss-location.openvoiceos,"where_iss.intent","dicci  la posizione della ISS"
